name,id,nametype,recclass,year,reclat,reclong,GeoLocation,mass
Chernyi Bor,5339,Valid,H4,1964.0,53.7,30.1,"(53.7, 30.1)",6.0
Cherokee Springs,5340,Valid,LL6,1933.0,35.03333,-81.88333,"(35.03333, -81.88333)",8.4
Chervettaz,5341,Valid,L5,1901.0,46.55,6.81667,"(46.55, 6.81667)",0.705
Chervony Kut,5342,Valid,Eucrite-mmict,1939.0,50.83333,34.0,"(50.83333, 34.0)",1.7
Chiang Khan,5345,Valid,H6,1981.0,17.9,101.63333,"(17.9, 101.63333)",0.367
Chicora,5349,Valid,LL6,1938.0,40.93333,-79.73333,"(40.93333, -79.73333)",0.303
Chisenga,5355,Valid,"Iron, IIIAB",1988.0,-10.05944,33.395,"(-10.05944, 33.395)",3.92
Chitenay,5357,Valid,L6,1978.0,47.47083,0.97667,"(47.47083, 0.97667)",4.0
Cilimus,5364,Valid,L5,1979.0,-6.95,108.1,"(-6.95, 108.1)",1.6
Claxton,5374,Valid,L6,1984.0,32.1025,-81.87278,"(32.1025, -81.87278)",1.455
Colby (Wisconsin),5395,Valid,L6,1917.0,44.9,-90.28333,"(44.9, -90.28333)",104.0
Coleman,5401,Valid,L6,1994.0,43.76111,-84.50778,"(43.76111, -84.50778)",0.469
Conquista,5418,Valid,H4,1965.0,-19.85,-47.55,"(-19.85, -47.55)",20.35
Cranganore,5465,Valid,L6,1917.0,10.2,76.26667,"(10.2, 76.26667)",1.46
Crescent,5470,Valid,CM2,1936.0,35.95,-97.58333,"(35.95, -97.58333)",0.07840000000000001
Crumlin,5477,Valid,L5,1902.0,54.61667,-6.21667,"(54.61667, -6.21667)",4.255
Cumberland Falls,5496,Valid,Aubrite,1919.0,36.83333,-84.35,"(36.83333, -84.35)",17.0
Dahmani,5504,Valid,LL6,1981.0,35.61667,8.83333,"(35.61667, 8.83333)",18.0
Dashoguz,6604,Valid,H5,1998.0,41.98444,59.685,"(41.98444, 59.685)",7.0
Daule,51559,Valid,L5,2008.0,-1.87089,-79.95756,"(-1.87089, -79.95756)",6.58
Demina,6649,Valid,L6,1911.0,51.46667,84.76667,"(51.46667, 84.76667)",16.4
Denver,6660,Valid,L6,1967.0,39.7825,-104.93056,"(39.7825, -104.93056)",0.23
Dergaon,6664,Valid,H5,2001.0,26.68333,93.86667,"(26.68333, 93.86667)",12.5
Desuri,6693,Valid,H6,1962.0,25.73333,73.61667,"(25.73333, 73.61667)",25.4
Devgaon,6694,Valid,H3.8,2001.0,19.0,81.0,"(19.0, 81.0)",12.0
Devri-Khera,6696,Valid,L6,1994.0,24.225,76.525,"(24.225, 76.525)",1.14
Dhajala,6698,Valid,H3.8,1976.0,22.37778,71.42722,"(22.37778, 71.42722)",45.0
Didim,47350,Valid,H3-5,2007.0,37.35172,27.32997,"(37.35172, 27.32997)",3.396
Diep River,7642,Valid,L6,1906.0,-33.75,18.56667,"(-33.75, 18.56667)",1.0
Distrito Quebracho,7649,Valid,H4,1957.0,-31.88333,-60.46667,"(-31.88333, -60.46667)",0.4
Djermaia,7656,Valid,H,1961.0,12.73333,15.05,"(12.73333, 15.05)",3.95
Djoumine,7657,Valid,H5-6,1999.0,36.95,9.55,"(36.95, 9.55)",10.0
Dokachi,7658,Valid,H5,1903.0,23.5,90.33333,"(23.5, 90.33333)",3.84
Domanitch,7661,Valid,L5,1907.0,40.0,29.0,"(40.0, 29.0)",0.438
Dong Ujimqin Qi,7706,Valid,Mesosiderite,1995.0,45.5,119.03333,"(45.5, 119.03333)",128.8
Dongtai,7708,Valid,LL6,1970.0,32.91667,120.78333,"(32.91667, 120.78333)",5.5
Dosso,7722,Valid,L6,1962.0,13.05,3.16667,"(13.05, 3.16667)",1.25
